Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-123.7454	-388.9884	265.243	6.695316	0.0107246	0.439973	0.24844	0.300863	1.983141	1.461044	0.0933477	0.621093	0.0339858	0.251574
6	-122.4839	-388.1314	265.6475	4.011803	0.0123555	0.619148	0.0422039	0.326293	1.692454	2.161259	0.131075	0.400641	0.0526903	0.415594
12	-104.3419	-370.7641	266.4222	4.012179	0.116638	0.0256882	0.500816	0.356857	1.501333	1.769317	0.326696	0.0959421	0.346708	0.230653
18	-106.258	-372.602	266.344	4.62638	0.153544	0.0235825	0.659278	0.163596	1.976881	1.250584	0.190539	0.482062	0.0922834	0.235115
24	-113.7976	-376.702	262.9044	17.87083	0.273926	0.101156	0.135258	0.48966	1.715228	1.401889	0.0338579	0.707294	0.00166244	0.257185
30	-116.6357	-382.4452	265.8095	5.890814	0.146434	0.124667	0.00600949	0.722889	1.792042	1.401889	0.20341	0.699535	0.0016442	0.0954103
36	-109.9425	-374.4584	264.5159	11.748	0.686645	0.197979	0.00128924	0.114087	1.649971	1.142485	0.0280723	0.890133	0.0187795	0.0630151
42	-104.9326	-373.3747	268.4421	1.176848	0.119633	0.721484	0.00349279	0.155389	1.529557	1.676371	0.00552276	0.905068	0.0253367	0.0640724
48	-106.7065	-375.3365	268.63	1.165782	0.307628	0.68505	0.0013769	0.00594511	1.692292	1.425151	0.00755177	0.845091	0.0417579	0.105599
54	-103.6159	-371.8333	268.2174	1.534975	0.512246	0.47409	0.00256947	0.0110943	1.731526	1.455948	0.00829294	0.81768	0.0432374	0.130789
60	-103.9228	-368.6781	264.7552	4.196062	0.496316	0.366868	0.0539331	0.082883	1.541287	2.759806	0.0420311	0.789863	0.0417664	0.12634
66	-114.0571	-379.6549	265.5978	4.578809	0.452679	0.479936	0.0463395	0.0210449	1.697136	2.012295	0.175452	0.596922	0.0272568	0.200369
72	-107.3861	-371.5736	264.1876	9.030394	0.344162	0.515453	0.0497688	0.0906159	1.783542	1.828952	0.435955	0.454215	0.0207405	0.0890893
78	-113.6726	-381.3855	267.7129	1.468188	0.116374	0.613042	0.0591913	0.211393	1.425407	2.064715	0.164405	0.735478	0.0568288	0.0432885
84	-124.9143	-390.7282	265.8139	0.3310722	0.0341078	0.292262	0.368117	0.305513	4.236835	0.02919345	0.0332099	0.717331	0.231297	0.0181613
90	-113.2401	-379.3807	266.1406	1.136521	0.297127	0.215305	0.226535	0.261033	1.221778	3.34582	0.0577764	0.536479	0.327457	0.0782883
96	-120.0643	-383.5102	263.4458	5.733658	0.194766	0.565577	0.176225	0.0634314	1.423987	3.213243	0.029289	0.520844	0.416846	0.0330209
102	-112.9879	-379.0686	266.0807	2.731391	0.0718451	0.562856	0.22159	0.143709	1.613629	2.394183	0.047142	0.435622	0.444263	0.0729738
108	-110.5979	-376.0526	265.4547	1.410623	0.24402	0.116657	0.264147	0.375176	1.401547	3.494053	0.0129931	0.844448	0.122446	0.0201128
